timestamp,open,high,low,close,volume,quote_volume,trades
2026-07-05 07:30:00,1763.09,1766.31,1763.08,1765.92,1785.9923,3151939.853572,13862
2026-07-05 07:35:00,1765.91,1767.84,1765.91,1767.15,2383.7528,4212163.290526,16156
2026-07-05 07:40:00,1767.16,1768.61,1766.71,1767.68,2039.4532,3604782.258093,14685
2026-07-05 07:45:00,1767.68,1767.99,1766.07,1767.24,1907.6376,3370662.747412,10328
2026-07-05 07:50:00,1767.25,1770.22,1767.24,1769.72,2714.6484,4801466.798755,29564
2026-07-05 07:55:00,1769.73,1772.35,1769.28,1770.1,2528.5023,4476775.927896,17701
2026-07-05 08:00:00,1770.09,1773.27,1769.22,1769.89,2994.5449,5302912.068588,21132
2026-07-05 08:05:00,1769.88,1769.89,1767.99,1768.82,3175.2296,5616098.146112,21699
2026-07-05 08:10:00,1768.82,1769.66,1766.9,1769.17,2840.024,5022837.583804,19124
2026-07-05 08:15:00,1769.17,1770.43,1767.61,1768.33,3732.9896,6602651.945988,22756
2026-07-05 08:20:00,1768.32,1769.06,1767.96,1767.97,3820.9065,6757435.998656,21417
2026-07-05 08:25:00,1767.97,1767.97,1766.7,1767.48,1507.0482,2663673.24906,12829
2026-07-05 08:30:00,1767.49,1769.87,1767.48,1768.33,2923.734,5171880.712664,17426
2026-07-05 08:35:00,1768.33,1768.56,1766.46,1767.42,2494.6642,4410029.25498,20022
2026-07-05 08:40:00,1767.42,1768.2,1767.28,1767.78,3108.4956,5495323.791687,17393
2026-07-05 08:45:00,1767.78,1770.43,1767.77,1769.62,3548.525,6277456.666184,15753
2026-07-05 08:50:00,1769.63,1769.63,1766.81,1768.15,3671.7138,6491165.440187,18166
2026-07-05 08:55:00,1768.15,1768.59,1767.09,1767.71,3951.9384,6986885.955025,18545
2026-07-05 09:00:00,1767.72,1767.83,1766.22,1766.22,4125.2434,7288604.412371,20479
2026-07-05 09:05:00,1766.22,1767.7,1766.0,1767.69,3963.1462,7002564.372053,20806
2026-07-05 09:10:00,1767.7,1767.7,1765.63,1766.27,4312.8452,7618869.190575,23894
2026-07-05 09:15:00,1766.27,1767.31,1766.08,1766.75,3459.8833,6111899.805364,26355
2026-07-05 09:20:00,1766.76,1767.0,1762.52,1763.06,6341.3719,11186720.948929,51413
2026-07-05 09:25:00,1763.06,1763.78,1761.01,1761.19,21093.0408,37172311.453035,59469
2026-07-05 09:30:00,1761.2,1762.75,1760.1,1760.6,18062.3623,31815610.831038,64024
2026-07-05 09:35:00,1760.6,1762.36,1753.29,1754.26,12289.8799,21624558.174134,62902
2026-07-05 09:40:00,1754.27,1756.55,1748.79,1752.58,14155.1992,24811987.028795,63211
2026-07-05 09:45:00,1752.58,1755.08,1750.31,1753.91,18558.2296,32544290.205843,59647
2026-07-05 09:50:00,1753.91,1756.69,1753.57,1756.25,17334.928,30428207.72489,53053
2026-07-05 09:55:00,1756.25,1758.78,1756.24,1757.98,4713.5629,8285061.329816,20900
2026-07-05 10:00:00,1757.99,1758.73,1755.03,1758.58,1088.3944,1911898.133566,7971
2026-07-05 10:05:00,1758.58,1759.53,1757.13,1758.53,542.938,954630.068091,6166
2026-07-05 10:10:00,1758.52,1760.79,1758.52,1759.2,346.1859,609225.668615,3833
2026-07-05 10:15:00,1759.2,1759.98,1757.61,1759.98,466.4516,820344.731636,2968
2026-07-05 10:20:00,1759.98,1761.96,1759.97,1760.19,666.1651,1173119.606445,3061
2026-07-05 10:25:00,1760.18,1760.18,1758.69,1758.88,343.4114,604260.173731,2757
2026-07-05 10:30:00,1758.88,1760.55,1758.54,1758.97,256.2414,450767.994836,2871
2026-07-05 10:35:00,1758.96,1760.48,1758.96,1759.47,293.8548,517101.338275,1941
2026-07-05 10:40:00,1759.47,1759.94,1758.97,1759.32,223.9904,394072.938421,1968
2026-07-05 10:45:00,1759.32,1760.97,1759.31,1760.75,287.8805,506780.102116,2326
2026-07-05 10:50:00,1760.75,1761.32,1760.17,1761.11,229.3688,403833.615763,2377
2026-07-05 10:55:00,1761.11,1761.75,1760.77,1761.39,308.6307,543582.169245,2744
2026-07-05 11:00:00,1761.39,1765.0,1761.39,1761.78,820.5996,1446893.833706,8286
2026-07-05 11:05:00,1761.78,1763.45,1761.78,1763.44,106.8936,188440.432532,1287
2026-07-05 11:10:00,1763.45,1764.55,1762.97,1763.91,403.2658,711252.510904,3644
2026-07-05 11:15:00,1763.9,1763.9,1761.57,1762.39,225.2764,397028.191984,3618
2026-07-05 11:20:00,1762.39,1762.96,1759.09,1759.58,610.0598,1074302.6436,4204
2026-07-05 11:25:00,1759.58,1760.03,1758.92,1759.23,264.4975,465426.769046,2526
2026-07-05 11:30:00,1759.23,1762.0,1758.7,1761.49,668.7989,1177644.441135,3081
2026-07-05 11:35:00,1761.49,1762.46,1761.49,1761.98,257.4819,453668.6744,2266
2026-07-05 11:40:00,1761.98,1761.98,1760.98,1761.69,214.986,378681.655223,1609
2026-07-05 11:45:00,1761.69,1762.93,1760.6,1760.6,592.4768,1043393.471316,3811
2026-07-05 11:50:00,1760.61,1761.39,1759.61,1760.01,246.834,434579.128725,2455
2026-07-05 11:55:00,1760.01,1760.73,1759.51,1760.08,354.2713,623604.056573,2098
2026-07-05 12:00:00,1760.08,1760.08,1756.03,1757.24,821.5668,1444906.926564,5967
2026-07-05 12:05:00,1757.25,1759.23,1757.0,1758.27,424.7371,746666.204065,2156
2026-07-05 12:10:00,1758.26,1760.18,1758.26,1760.02,169.2969,297845.074751,1424
2026-07-05 12:15:00,1760.02,1762.74,1760.02,1761.56,553.0551,974266.007697,3375
2026-07-05 12:20:00,1761.56,1765.0,1761.3,1764.91,700.9703,1236719.876232,3244
2026-07-05 12:25:00,1764.91,1766.87,1764.21,1766.16,584.5986,1032038.406769,3907
2026-07-05 12:30:00,1766.15,1769.44,1763.88,1764.52,745.7021,1317646.60472,6590
2026-07-05 12:35:00,1764.53,1766.73,1764.53,1765.22,167.2848,295380.742381,6427
2026-07-05 12:40:00,1765.22,1765.22,1764.08,1764.57,113.556,200369.275838,2831
2026-07-05 12:45:00,1764.58,1766.01,1764.57,1765.81,226.8585,400532.492788,2779
2026-07-05 12:50:00,1765.8,1765.8,1764.14,1765.35,138.7091,244810.952894,3625
2026-07-05 12:55:00,1765.35,1765.36,1764.46,1765.12,103.1171,182002.912164,1864
2026-07-05 13:00:00,1765.12,1765.61,1763.16,1764.95,287.4149,507047.052834,6000
2026-07-05 13:05:00,1764.96,1767.55,1764.7,1765.95,239.7156,423362.461931,6998
2026-07-05 13:10:00,1765.94,1766.35,1765.22,1765.22,139.5209,246372.315968,3452
2026-07-05 13:15:00,1765.22,1765.62,1763.98,1765.52,130.6829,230669.998391,3929
2026-07-05 13:20:00,1765.53,1766.06,1764.54,1764.87,319.7679,564512.626831,4690
2026-07-05 13:25:00,1764.87,1765.22,1761.51,1763.53,370.0562,652651.876465,6912
2026-07-05 13:30:00,1763.54,1764.12,1762.85,1763.2,340.5513,600612.430433,3861
2026-07-05 13:35:00,1763.21,1763.81,1762.75,1763.55,112.9833,199227.04029,2445
2026-07-05 13:40:00,1763.56,1765.14,1763.55,1765.12,93.5307,165043.34158,1615
2026-07-05 13:45:00,1765.13,1767.08,1765.13,1766.24,452.4778,799204.933193,6198
2026-07-05 13:50:00,1766.25,1766.36,1765.32,1766.19,209.025,369126.996119,3793
2026-07-05 13:55:00,1766.2,1766.26,1765.37,1766.26,250.9934,443242.435855,2030
2026-07-05 14:00:00,1766.25,1767.96,1764.96,1765.89,351.6587,621194.579719,8332
2026-07-05 14:05:00,1765.89,1767.62,1765.88,1767.14,222.2337,392700.06127,5003
2026-07-05 14:10:00,1767.14,1768.75,1766.7,1767.66,344.1385,608313.08878,5335
2026-07-05 14:15:00,1767.66,1767.99,1765.24,1765.37,235.5979,416272.148672,5208
2026-07-05 14:20:00,1765.37,1767.07,1765.2,1766.96,291.507,514810.548897,4204
2026-07-05 14:25:00,1766.97,1767.44,1766.7,1767.43,160.2935,283269.262371,3100
2026-07-05 14:30:00,1767.43,1767.77,1765.25,1765.26,315.7969,557829.809637,4723
2026-07-05 14:35:00,1765.26,1769.12,1765.0,1769.08,466.0356,823519.802761,4541
2026-07-05 14:40:00,1769.08,1771.44,1767.78,1768.79,637.6677,1128335.247186,6764
2026-07-05 14:45:00,1768.79,1769.16,1767.22,1767.86,129.3206,228650.937461,3541
2026-07-05 14:50:00,1767.86,1768.57,1767.37,1768.57,163.9564,289899.69896,2731
2026-07-05 14:55:00,1768.57,1772.77,1768.56,1772.56,521.3236,923289.623143,5024
2026-07-05 15:00:00,1772.56,1781.28,1771.22,1777.15,2125.2228,3778235.991603,18610
2026-07-05 15:05:00,1777.14,1779.5,1775.41,1776.29,1021.5338,1815375.51467,16486
2026-07-05 15:10:00,1776.3,1776.3,1773.94,1774.5,680.3037,1207436.161765,7088
2026-07-05 15:15:00,1774.5,1775.59,1773.36,1774.7,738.9622,1311331.022256,7451
2026-07-05 15:20:00,1774.7,1775.89,1772.57,1773.1,543.2474,963821.129531,10169
2026-07-05 15:25:00,1773.1,1775.54,1773.1,1774.69,239.0393,424194.822422,5442
2026-07-05 15:30:00,1774.69,1777.57,1774.68,1776.31,170.5331,302927.665195,6053
2026-07-05 15:35:00,1776.31,1778.94,1773.83,1774.79,380.1266,675347.453185,9164
2026-07-05 15:40:00,1774.8,1775.32,1770.28,1771.46,537.1887,952013.528474,8557
2026-07-05 15:45:00,1771.46,1773.06,1770.11,1772.73,239.6801,424676.83501,5780
2026-07-05 15:50:00,1772.74,1775.06,1772.73,1774.0,1475.7618,2617682.761397,4236
2026-07-05 15:55:00,1774.01,1776.06,1774.0,1774.67,310.6851,551420.613541,3276
2026-07-05 16:00:00,1774.66,1777.5,1774.15,1774.97,433.6258,770046.811292,5168
2026-07-05 16:05:00,1774.98,1776.74,1773.29,1773.3,535.6009,950535.512118,6293
2026-07-05 16:10:00,1773.29,1775.62,1773.29,1774.01,183.4504,325601.989341,3611
2026-07-05 16:15:00,1774.01,1774.5,1773.03,1773.97,170.3907,302232.45553,3266
2026-07-05 16:20:00,1773.97,1773.98,1772.0,1773.91,210.7923,373774.034758,3237
2026-07-05 16:25:00,1773.9,1773.91,1770.97,1771.3,314.2006,556944.30526,3338
2026-07-05 16:30:00,1771.29,1773.49,1770.65,1773.29,426.6675,755981.61985,3666
2026-07-05 16:35:00,1773.29,1773.49,1771.31,1771.32,310.2876,550027.441969,3716
2026-07-05 16:40:00,1771.31,1771.73,1770.31,1770.98,171.4103,303588.824789,2494
2026-07-05 16:45:00,1770.97,1772.35,1770.76,1771.42,780.5986,1382951.924279,3329
2026-07-05 16:50:00,1771.41,1772.47,1770.46,1772.35,647.2198,1146823.526676,2759
2026-07-05 16:55:00,1772.36,1773.6,1772.18,1773.0,293.7324,520750.750737,3499
2026-07-05 17:00:00,1773.0,1776.65,1772.99,1776.65,432.3704,767305.818354,4316
2026-07-05 17:05:00,1776.65,1777.12,1775.74,1776.58,334.5541,594345.827299,4230
2026-07-05 17:10:00,1776.59,1777.24,1775.77,1776.62,254.9235,452919.686692,2774
2026-07-05 17:15:00,1776.62,1778.16,1776.14,1776.66,132.8067,235988.634792,3346
2026-07-05 17:20:00,1776.67,1785.75,1775.88,1784.74,2132.5956,3801052.593694,19374
2026-07-05 17:25:00,1784.74,1784.74,1778.85,1778.91,886.5381,1578988.050855,12303
2026-07-05 17:30:00,1778.91,1781.03,1777.73,1780.11,665.6999,1184833.77834,11065
2026-07-05 17:35:00,1780.11,1782.7,1779.42,1781.92,623.2787,1110500.84453,6029
2026-07-05 17:40:00,1781.93,1782.0,1776.36,1776.67,573.9746,1021839.283912,8174
2026-07-05 17:45:00,1776.67,1780.81,1776.5,1780.08,303.9482,540554.059775,6941
2026-07-05 17:50:00,1780.08,1780.08,1777.69,1778.18,237.7847,422941.346336,4524
2026-07-05 17:55:00,1778.18,1780.09,1778.16,1779.48,229.3695,408090.527726,4485
2026-07-05 18:00:00,1779.47,1780.29,1779.01,1779.92,266.6173,474446.526222,4713
2026-07-05 18:05:00,1779.92,1781.64,1778.66,1779.55,315.4951,561677.961787,5669
2026-07-05 18:10:00,1779.55,1780.13,1777.8,1778.55,297.742,529675.021223,3469
