timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,date,rsi,rolling_mean,rolling_std,zscore,return,log_return
2020-01-02,130.63,130.75,126.25,127.11,523582.924,2020-01-02 23:59:59.999,67377970.84502,47479,253840.635,32674934.35326,0,2020-01-02,,,,,,
2020-01-03,127.11,135.07,125.78,134.29,951123.597,2020-01-03 23:59:59.999,125018928.04077,106861,486159.153,63907153.10402,0,2020-01-03,,,,,0.056486507749193615,0.05494878728650637
2020-01-04,134.31,135.8,132.41,134.14,509778.108,2020-01-04 23:59:59.999,68153930.41227,65138,257304.84,34406351.99057,0,2020-01-04,,,,,-0.0011169856281182389,-0.0011176099214927331
2020-01-05,134.14,138.17,134.12,135.33,669677.687,2020-01-05 23:59:59.999,91098597.42478,71080,332189.944,45185997.79727,0,2020-01-05,,,,,0.008871328462800365,0.008832209416823385
2020-01-06,135.32,144.38,134.82,144.04,1095147.166,2020-01-06 23:59:59.999,153993462.03959,89851,565039.363,79461767.47336,0,2020-01-06,,,,,0.06436119116234384,0.06237479869226018
2020-01-07,144.11,145.25,138.7,142.86,963331.505,2020-01-07 23:59:59.999,137384193.55172,82275,481985.847,68782673.41951,0,2020-01-07,,,,,-0.008192168841988146,-0.008225909053847881
2020-01-08,142.86,147.94,137.15,140.75,1208133.766,2020-01-08 23:59:59.999,171733898.79286,117669,593769.495,84431362.93629,0,2020-01-08,,,,,-0.014769704605907985,-0.014879862707026755
2020-01-09,140.76,141.52,135.33,137.73,956864.213,2020-01-09 23:59:59.999,132349219.83971,79801,460011.726,63634192.42552,0,2020-01-09,,,,,-0.02145648312611015,-0.02169002009055942
2020-01-10,137.73,145.15,135.22,144.8,908378.249,2020-01-10 23:59:59.999,127143267.90469,88107,451491.742,63243003.62813,0,2020-01-10,,,,,0.05133231685181161,0.05005823302237571
2020-01-11,144.8,148.03,142.0,142.4,832163.204,2020-01-11 23:59:59.999,119977193.63432,83777,400748.783,57809841.35838,0,2020-01-11,,,,,-0.016574585635359185,-0.016713480973740667
2020-01-12,142.4,146.6,141.71,146.57,630256.911,2020-01-12 23:59:59.999,90941158.24868,63661,329084.039,47490278.22387,0,2020-01-12,,,,,0.02928370786516843,0.02886313106133378
2020-01-13,146.57,147.0,142.32,143.58,558655.672,2020-01-13 23:59:59.999,80266745.59378,55178,279441.457,40161070.63786,0,2020-01-13,,,,,-0.02039980896499949,-0.020610758890872147
2020-01-14,143.57,171.0,143.49,165.77,2169559.414,2020-01-14 23:59:59.999,342187335.94531,200718,1093708.213,172392113.33496,0,2020-01-14,,,,,0.15454798718484475,0.14370891428843774
2020-01-15,165.75,172.18,159.35,166.6,1391999.279,2020-01-15 23:59:59.999,230286716.67757,161755,659342.288,109136637.08767,0,2020-01-15,81.24703275834784,,,,0.005006937322796556,0.004994444295967591
2020-01-16,166.61,167.63,158.43,164.37,784199.474,2020-01-16 23:59:59.999,127461014.43638,96110,371086.603,60358530.56161,0,2020-01-16,78.47752980739835,,,,-0.013385354141656647,-0.01347574551430825
2020-01-17,164.39,174.79,162.27,170.06,946707.348,2020-01-17 23:59:59.999,160259747.79844,132234,457329.539,77442370.40568,0,2020-01-17,77.97591115282341,,,,0.03461702257102872,0.03403133173921234
2020-01-18,170.06,179.57,165.08,174.43,819444.357,2020-01-18 23:59:59.999,142262348.68168,126514,390507.838,67879871.85541,0,2020-01-18,79.55979457079974,,,,0.025696812889568488,0.0253721990723971
2020-01-19,174.37,178.42,161.81,167.04,742371.819,2020-01-19 23:59:59.999,125956521.7234,123733,340703.545,57894394.44088,0,2020-01-19,71.32481506388702,,,,-0.04236656538439498,-0.04329021033576965
2020-01-20,167.04,169.48,161.5,167.03,390055.869,2020-01-20 23:59:59.999,64624702.00634,60886,177886.786,29490461.02375,0,2020-01-20,67.50952018278753,,,,-5.9865900383093695e-05,-5.986769241762957e-05
2020-01-21,167.01,170.34,165.02,169.52,351565.999,2020-01-21 23:59:59.999,58986902.98569,48717,170834.392,28676762.37858,0,2020-01-21,69.9074074074074,150.921,15.169791623312966,1.2260550745744614,0.014907501646410859,0.014797476958187443
2020-01-22,169.62,171.61,166.12,168.19,334378.174,2020-01-22 23:59:59.999,56350595.56504,46337,163071.874,27491493.08245,0,2020-01-22,70.7313387730432,152.975,14.544315764333186,1.0461131514561535,-0.007845681925436554,-0.00787662122070218
2020-01-23,168.24,168.38,159.41,162.97,481102.22,2020-01-23 23:59:59.999,78583548.01533,67538,222287.501,36313451.31092,0,2020-01-23,68.45568879789414,154.409,14.009111658976932,0.6111022746052697,-0.031036327962423393,-0.031528157951444015
2020-01-24,162.97,164.65,155.72,162.63,472568.424,2020-01-24 23:59:59.999,75924771.97144,64720,227946.374,36649321.72762,0,2020-01-24,64.46066504460664,155.83350000000002,13.26851725940608,0.512227543373916,-0.0020862735472786387,-0.0020884528475408936
2020-01-25,162.66,163.0,157.8,160.52,282785.555,2020-01-25 23:59:59.999,45339862.12769,42072,139386.142,22353858.35028,0,2020-01-25,64.76531942633639,157.09300000000002,12.386028674106502,0.276682711639791,-0.012974235995818595,-0.013059136541640396
2020-01-26,160.5,168.16,159.5,167.9,326188.863,2020-01-26 23:59:59.999,53409274.40732,43835,165546.267,27127146.45932,0,2020-01-26,66.5169583397863,158.286,12.210448243851998,0.7873584825062164,0.045975579367057096,0.04495001868477919
2020-01-27,167.98,172.26,165.28,170.21,418039.792,2020-01-27 23:59:59.999,70720869.02324,53201,205608.964,34806573.43452,0,2020-01-27,70.84050712161527,159.6535,11.919963473539886,0.8856151298981307,0.013758189398451526,0.013664404736386642
2020-01-28,170.25,176.7,170.22,175.88,525282.459,2020-01-28 23:59:59.999,90758791.20274,72110,270004.061,46676300.09117,0,2020-01-28,60.671310956301454,161.41000000000003,11.571007780337462,1.2505393025997915,0.033311791316608774,0.03276897549272754
