timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,date,return,log_return,rsi
2023-11-25,56.86,59.82,55.7,58.82,4095129.28,2023-11-25 23:59:59.999,239441357.6541,314780,2050701.28,119999542.2014,0,2023-11-25,0.03447062961660219,0.03388982690299525,52.57154707590211
2023-11-26,58.81,59.04,56.12,57.57,3097837.47,2023-11-26 23:59:59.999,178464407.2827,250802,1529318.34,88157394.8786,0,2023-11-26,-0.021251275076504594,-0.021480334438130737,51.305403764420156
2023-11-27,57.57,58.09,53.47,55.06,4618869.6,2023-11-27 23:59:59.999,255149638.2161,357965,2288368.68,126352915.1457,0,2023-11-27,-0.04359909675178042,-0.04457809897325696,53.662150719729034
2023-11-28,55.06,58.65,53.94,58.18,5642915.95,2023-11-28 23:59:59.999,318405563.2279,367903,2971068.72,167670391.2083,0,2023-11-28,0.05666545586632754,0.05511815335259422,51.517165005537095
2023-11-29,58.18,61.78,57.72,59.31,7574392.84,2023-11-29 23:59:59.999,452934119.5893,484253,3841911.05,229719275.5609,0,2023-11-29,0.01942248195256102,0.019236272783579665,41.87466808284652
2023-11-30,59.31,61.7,58.75,59.3,4597104.01,2023-11-30 23:59:59.999,275587046.658,341750,2349326.86,140859819.9536,0,2023-11-30,-0.00016860563142817586,-0.0001686198469555516,52.49667110519308
2023-12-01,59.3,61.9,58.6,59.75,5422494.06,2023-12-01 23:59:59.999,328236649.1286,382246,2811553.17,170211621.0581,0,2023-12-01,0.007588532883642474,0.0075598848079402575,52.08193418401612
2023-12-02,59.74,63.9,59.67,63.66,4898503.76,2023-12-02 23:59:59.999,303922362.6854,364915,2606938.18,161751473.5448,0,2023-12-02,0.06543933054393292,0.06338723104232659,57.58026159334125
2023-12-03,63.66,65.53,62.22,62.98,4675198.65,2023-12-03 23:59:59.999,297939228.062,360268,2344824.97,149564908.5522,0,2023-12-03,-0.01068174677976752,-0.010739206181068186,52.95783511642543
2023-12-04,62.99,65.25,59.75,61.64,7696216.19,2023-12-04 23:59:59.999,480297269.4067,525683,3912969.25,244109861.2151,0,2023-12-04,-0.02127659574468077,-0.021506205220963505,58.86673662119622
2023-12-05,61.63,62.6,59.11,61.03,6032438.26,2023-12-05 23:59:59.999,365959805.8631,399777,3071781.57,186429667.7959,0,2023-12-05,-0.009896171317326452,-0.009945463895511457,69.31630971993411
2023-12-06,61.04,66.68,61.03,61.85,11121135.68,2023-12-06 23:59:59.999,708229617.1834,848401,5600956.9,356858114.9635,0,2023-12-06,0.013436015074553609,0.01334655228209343,61.17769671704012
2023-12-07,61.85,69.37,61.64,67.74,10648583.32,2023-12-07 23:59:59.999,693832168.8671,771637,5627627.52,367174122.643,0,2023-12-07,0.09523039611964412,0.09096474855112859,73.3666250520183
2023-12-08,67.74,75.3,67.74,74.94,11314830.348,2023-12-08 23:59:59.999,813635345.2478461,814049,5808220.128,417590274.328246,0,2023-12-08,0.10628875110717462,0.10101094597591577,79.27461139896374
2023-12-09,74.93,77.78,71.5,72.3,8809964.3,2023-12-09 23:59:59.999,661734151.0119,695172,4318994.61,324563872.1069,0,2023-12-09,-0.03522818254603688,-0.035863664200822355,71.35614702154626
2023-12-10,72.31,74.89,70.67,74.87,5886808.01,2023-12-10 23:59:59.999,429356414.6488,434901,3020247.96,220434257.6913,0,2023-12-10,0.035546334716459294,0.034929147077874936,76.30778588807786
2023-12-11,74.88,75.0,64.18,70.25,12970688.47,2023-12-11 23:59:59.999,901955694.2818,974088,6403375.41,445350194.0109,0,2023-12-11,-0.06170695872846277,-0.0636929680287388,71.70620177193483
2023-12-12,70.24,72.42,65.75,68.6,7763463.64,2023-12-12 23:59:59.999,541671172.2283,588718,3808248.75,265720193.2168,0,2023-12-12,-0.023487544483985823,-0.023767773482015666,65.54295942720762
2023-12-13,68.6,72.6,63.67,70.62,8271925.44,2023-12-13 23:59:59.999,559579173.0734,603343,4085054.22,276713408.5228,0,2023-12-13,0.029446064139941885,0.029020855768400997,66.43417611159546
2023-12-14,70.62,76.24,68.18,75.68,7493589.41,2023-12-14 23:59:59.999,543474285.6242,633186,3743096.26,271784050.44,0,2023-12-14,0.07165109034267925,0.0692005342433826,70.75519513431323
2023-12-15,75.68,79.5,72.13,72.51,8834567.44,2023-12-15 23:59:59.999,673033918.0997,786885,4658170.88,355055117.1252,0,2023-12-15,-0.041886892177589896,-0.04278944136012155,65.12565196775722
2023-12-16,72.51,77.22,71.18,73.72,5513079.61,2023-12-16 23:59:59.999,410808269.5864,466725,2849930.9,212362045.1254,0,2023-12-16,0.016687353468487043,0.016549649418121138,62.74062816616007
2023-12-17,73.71,75.05,70.36,70.87,5108641.26,2023-12-17 23:59:59.999,372478234.0344,422507,2505359.06,182721496.3352,0,2023-12-17,-0.03865979381443296,-0.039426919979457874,59.471788715486205
2023-12-18,70.85,75.46,67.0,74.42,7219822.33,2023-12-18 23:59:59.999,509564447.4618,611266,3748877.08,264906318.7018,0,2023-12-18,0.050091717228728516,0.04887751009631167,64.56908344733242
2023-12-19,74.41,76.37,71.78,73.0,6086806.16,2023-12-19 23:59:59.999,452723595.9081,527336,3163099.02,235320658.6769,0,2023-12-19,-0.019080892233270697,-0.019265281770085383,63.398253861652115
2023-12-20,73.0,84.14,72.96,82.21,10701294.29,2023-12-20 23:59:59.999,844729188.4502,949815,5495655.74,433777056.7134,0,2023-12-20,0.12616438356164372,0.11881750801565082,69.18582736524688
