timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,date,rsi,rolling_mean,rolling_std,zscore,return,log_return
2020-01-09,45.32,45.77,43.87,44.73,212861.927,2020-01-09 23:59:59.999,9529891.5188,20337,89479.1,4004781.22655,0,2020-01-09,,,,,,
2020-01-10,44.73,49.63,43.8,49.04,384284.072,2020-01-10 23:59:59.999,17930008.74843,33288,160034.523,7501083.41791,0,2020-01-10,,,,,0.09635591325732173,0.09199187418319925
2020-01-11,49.03,51.99,47.76,49.25,545784.433,2020-01-11 23:59:59.999,27169067.91927,35658,236762.251,11819568.3858,0,2020-01-11,,,,,0.004282218597063681,0.004273075990141987
2020-01-12,49.3,51.75,48.78,51.33,528807.006,2020-01-12 23:59:59.999,26733093.38712,35560,297599.592,15049305.0662,0,2020-01-12,,,,,0.04223350253807112,0.041366008954113964
2020-01-13,51.33,51.42,48.9,49.58,481361.43,2020-01-13 23:59:59.999,24029706.71888,35468,248061.407,12387480.07453,0,2020-01-13,,,,,-0.03409312293006039,-0.034687849965167356
2020-01-14,49.6,61.21,49.58,58.55,1387911.639,2020-01-14 23:59:59.999,77679527.95806,64973,700998.361,39186234.12563,0,2020-01-14,,,,,0.18091972569584502,0.16629356343668183
2020-01-15,58.55,60.37,55.36,58.2,677280.386,2020-01-15 23:59:59.999,39457945.8873,42630,348267.78,20285167.04977,0,2020-01-15,,,,,-0.005977796754910281,-0.005995735306334157
2020-01-16,58.27,58.56,54.68,57.6,387334.981,2020-01-16 23:59:59.999,22054995.48173,40100,194926.49,11101825.71925,0,2020-01-16,,,,,-0.010309278350515538,-0.01036278703554666
2020-01-17,57.64,63.39,56.83,61.15,699042.16,2020-01-17 23:59:59.999,41891761.61121,45585,344402.904,20629094.5152,0,2020-01-17,,,,,0.06163194444444442,0.059807294431335783
2020-01-18,61.18,62.76,57.96,59.33,400679.659,2020-01-18 23:59:59.999,24112622.61078,47364,173881.92,10480294.41573,0,2020-01-18,,,,,-0.029762878168438256,-0.030214781862629474
2020-01-19,59.38,62.7,55.35,57.64,439816.278,2020-01-19 23:59:59.999,26030615.56244,51959,196507.143,11645413.94423,0,2020-01-19,,,,,-0.028484746334063726,-0.02889830913923055
2020-01-20,57.63,58.32,55.85,57.23,221200.071,2020-01-20 23:59:59.999,12654234.17572,39427,108469.454,6207709.7456,0,2020-01-20,,,,,-0.007113115891741906,-0.007138534710310495
2020-01-21,57.26,58.15,56.0,57.59,176966.937,2020-01-21 23:59:59.999,10155766.7803,28848,88526.225,5084231.31121,0,2020-01-21,,,,,0.006290407129128095,0.006270705097570117
2020-01-22,57.61,59.49,57.23,58.36,240476.89,2020-01-22 23:59:59.999,13997156.13485,28940,120491.043,7019135.65336,0,2020-01-22,75.36285820617789,,,,0.013370376801528083,0.013281782136003931
2020-01-23,58.36,58.46,52.14,54.5,390128.497,2020-01-23 23:59:59.999,21559798.16955,40681,174851.35,9664502.7599,0,2020-01-23,65.89651806052717,,,,-0.0661411925976696,-0.06843002198538646
2020-01-24,54.53,55.48,50.68,54.4,380824.766,2020-01-24 23:59:59.999,20295409.2619,40913,190899.765,10191929.02947,0,2020-01-24,60.10558069381599,,,,-0.0018348623853211565,-0.0018365478073015034
2020-01-25,54.38,54.43,52.18,53.28,214348.899,2020-01-25 23:59:59.999,11443331.98593,26916,107858.461,5759143.04652,0,2020-01-25,57.34597156398105,,,,-0.020588235294117574,-0.020803127629763173
2020-01-26,53.23,56.63,52.82,56.27,278686.132,2020-01-26 23:59:59.999,15257973.73832,29701,155251.827,8501977.42865,0,2020-01-26,58.71559633027523,,,,0.056118618618618665,0.05460050721305396
2020-01-27,56.32,59.68,55.92,58.6,361503.218,2020-01-27 23:59:59.999,21004215.31024,34334,176523.615,10263037.93759,0,2020-01-27,65.59474412171508,,,,0.041407499555713434,0.040573163137779235
2020-01-28,58.59,61.65,57.3,60.57,490260.107,2020-01-28 23:59:59.999,29225260.6802,40394,229426.147,13695209.29446,0,2020-01-28,54.60766423357665,55.36,4.4697262367598,1.1656194863014342,0.033617747440273016,0.033065024409888864
2020-01-29,60.58,62.78,59.48,59.86,514719.82,2020-01-29 23:59:59.999,31365111.88668,38242,253717.441,15485747.93973,0,2020-01-29,53.72531418312387,56.116499999999995,3.8071805771946767,0.9832735600785201,-0.011721974574872118,-0.011791218568303015
2020-01-30,59.89,70.3,58.2,68.03,1130298.782,2020-01-30 23:59:59.999,74318743.34392,67114,561192.559,36926812.21596,0,2020-01-30,67.47068676716918,57.065999999999995,4.287199306626275,2.5573805218372048,0.13648513197460743,0.12794028193241655
