timestamp,open,high,low,close,volume,quote_volume,trades
2026-07-05 07:30:00,62749.99,62846.93,62749.99,62839.89,10.40687,653623.5163236,4363
2026-07-05 07:35:00,62839.9,62908.18,62839.9,62889.61,17.64371,1109430.2232562,5991
2026-07-05 07:40:00,62889.6,62974.14,62889.6,62924.38,98.33297,6188937.3808296,4604
2026-07-05 07:45:00,62924.38,62931.68,62898.58,62931.67,16.08666,1012183.7241984,4381
2026-07-05 07:50:00,62931.68,63013.0,62929.99,63013.0,27.96739,1761537.6881222,5997
2026-07-05 07:55:00,63013.0,63059.99,63000.0,63020.21,23.75689,1497414.2328277,7269
2026-07-05 08:00:00,63020.21,63104.0,63003.8,63026.0,52.45763,3308024.5703216,8381
2026-07-05 08:05:00,63026.01,63026.01,62975.98,62983.34,16.91539,1065523.5052083,4046
2026-07-05 08:10:00,62983.35,63028.0,62948.89,63014.01,19.04544,1199459.7492988,5103
2026-07-05 08:15:00,63014.01,63049.9,62955.83,62976.01,18.72194,1179593.7573651,7074
2026-07-05 08:20:00,62976.01,62985.23,62952.0,62952.0,8.56045,539011.0884017,2793
2026-07-05 08:25:00,62952.0,62952.01,62919.99,62935.6,9.30959,585903.9586241,3345
2026-07-05 08:30:00,62935.6,62990.18,62924.99,62925.0,67.85883,4271995.0662413,4520
2026-07-05 08:35:00,62925.0,62961.44,62913.71,62946.0,10.78045,678501.5462485,5582
2026-07-05 08:40:00,62946.01,62966.52,62936.0,62938.0,17.62357,1109491.4279256,3367
2026-07-05 08:45:00,62938.01,62984.59,62936.0,62966.01,14.46119,910359.9526183,4179
2026-07-05 08:50:00,62966.0,62966.01,62900.0,62924.93,9.10169,572777.7791365,3943
2026-07-05 08:55:00,62924.92,62949.98,62914.99,62915.0,92.62355,5828360.6993201,2474
2026-07-05 09:00:00,62915.0,62930.16,62880.0,62894.04,51.58488,3245278.0113569,4885
2026-07-05 09:05:00,62894.03,62900.02,62873.0,62900.02,17.8736,1124050.4169235,3651
2026-07-05 09:10:00,62900.02,62902.0,62815.6,62871.52,100.24246,6301017.4643228,3703
2026-07-05 09:15:00,62871.52,62874.38,62857.7,62867.86,18.30998,1151104.9619651,3120
2026-07-05 09:20:00,62867.86,62867.86,62746.0,62749.15,54.15706,3400842.3691254,7309
